Paper,Year,Bosu2016_57extra,Liebchen2010,RosliTemperoLuxton-Reilly2013,Bosu2016_LitRev,Snowballing,Quantitative,Qualitative,Data collection,Manual noise checking,Automatic noise checking,Empirical analysis of quality,Data quality meta-data,Is noise a problem?,Quality incl defects,"Cost incl productivity, schedule",Other problem domain
LiebchenTwalaShepperdCartwright2006.pdf,2006,x,x,,,,Y,,,Y,Y,Y,,Y,,Y,
VanHulseKhoshgoftaarSeiffertZhao2006.pdf,2006,x,x,,,,Y,,,,Y,Y,,Y,Y,,
VanHulseKhoshgoftaarHuang2006.pdf,2006,,x,,,,Y,,,,Y,Y,,Y,Y,,
ColomboDamianiGianini2006.pdf,2006,,x,,,,Y,,,,Y,,,Y,,,Y
KhoshgoftaarFollecoVanHulseBullard2006.pdf,2006,x,x,,,,Y,,,Y,,Y,,Y,Y,,
CounsellLoizouNajjar2006.pdf,2006,,x,,,,Y,,Y,Y,,Y,,Y,,,Y
LokanMendes2006.pdf,2006,x,x,,,,Y,,,,,,Y,Y,,Y,
ChenCheng2006.pdf,2006,x,x,,,,Y,,,,,,,Y,Y,,
NayakQiu2006.pdf,2006,,x,,,,n.a.,n.a.,,Y,,,,Y,,,Y
LiBjornsonConradiKampenes2006.pdf,2006,,x,,,,Y,Y,Y,Y,,,,n.a.,,,Y
SoweStamelosAngelis2006.pdf,2006,,x,,,,,Y,Y,Y,,,,Y,,,Y
RoblesGonzalez-BarahonaMerelo2006.pdf,2006,,x,,,,Y,,Y,,,,,n.a.,,,Y
MunsonNikoraSherif2006.pdf,2006,,x,,,,Y,,Y,,,,,n.a.,Y,,
TowellDenton2006.pdf,2006,,x,,,,Y,,Y,,,,,Y,,,Y
Armour2006.pdf,2006,,x,,,,Y,,,,,,,Y,,,Y
Arisholm2006.pdf,2006,,x,,,,Y,,Y,Y,,,,Y,,Y,
HuangChiu2006.pdf,2006,,x,,,,Y,,Y,,,,,Y,,Y,
KhoshgoftaarHerzbergSeliya2006.pdf,2006,,x,,,,Y,,,,,,,Y,Y,,
KhoshgoftaarSeliyaSundaresh2006.pdf,2006,,x,,,,Y,,,,,,,Y,Y,,
KhoshgoftaarRebours2007.pdf,2007,x,x,,,,Y,,,,Y,Y,,Y,Y,,
LiebchenTwalaShepperdCartwrightStephens2007.pdf,2007,,x,,x,,Y,,,,Y,Y,,Y,,Y,
SeliyaKhoshgoftaar2007.pdf,2007,,x,,x,,Y,,,,Y,Y,,Y,Y,,
YoonKwonBae2007.pdf,2007,,,,x,,Y,,,,Y,Y,,Y,,,Y
RubinGuntherVanDerAalstKindlerVanDongenSchafer2007.pdf,2007,,x,,,,,Y,Y,n.a.,Y,,,n.a.,,,Y
MendesDiMartinoFerrucciGravino2007.pdf,2007,x,,,,,Y,,,,,Y,,n.a.,,Y,
Mendes2007.pdf,2007,,x,,x,,Y,,,,,Y,,n.a.,,Y,
MendesMartinoFerrucciGravino2007.pdf,2007,,x,,,,n.a.,n.a.,,,,Y,,Y,,Y,
Mendes2007b.pdf,2007,,,,x,,Y,,,,,Y,,n.a.,,Y,
VanHulseKhoshgoftaar2007.pdf,2007,x,x,x,x,,Y,,,,,,,Y,Y,,
MendesLokan2007.pdf,2007,,x,x,x,,Y,,,,,,,n.a.,,Y,
FentonNeilMarshHeartyRadlinskiKrause2007.pdf,2007,,x,,x,,Y,Y,,,,,,n.a.,Y,,
TrienekensKustersGenuchtenAerts2007.pdf,2007,,x,,,,n.a.,n.a.,Y,,,,,n.a.,,,Y
radlinskiFentonNeilMarquez2007.pdf,2007,,x,,,,n.a.,n.a.,,,,,Y,n.a.,Y,Y,
Mockus2007.pdf,2007,,x,,,,n.a.,n.a.,Y,,,,,Y,,,Y
MohagheghiConradi2007.pdf,2007,,x,,,,n.a.,n.a.,,,,,Y,Y,,,Y
Shepperd2007.pdf,2007,,x,,,,n.a.,n.a.,,,,,,Y,,Y,
HansenEddy2007.pdf,2007,,x,,,,,Y,Y,Y,,,,Y,,,Y
EllisWahidDanisKellog2007.pdf,2007,,x,,,,,Y,Y,,,,,Y,Y,,
Hirzel2007.pdf,2007,,x,,,,Y,,Y,,,,,n.a.,,,Y
RuanWangWangLiYangXieLiuZengZhangXiaoZhangNisarDai2007.pdf,2007,,x,,,,Y,,Y,,,,,n.a.,Y,Y,
PendharkarRodgerSubramanian2007.pdf,2007,,x,,,,Y,,,,,,Y,n.a.,,Y,
IqbalBailey2007.pdf,2007,,x,,,,Y,,,Y,,,,Y,,,Y
WangZhuYu2007.pdf,2007,,,,x,,Y,Y,,,,,,Y,Y,,
OhsugiMondenKikuchiBarkerTsunodaKakimotoMatsumoto2007.pdf,2007,,,,x,,Y,,,,,,,n.a.,,Y,
SeoYoonBae2008.pdf,2008,x,,x,x,,Y,,,,Y,Y,,Y,,Y,
LiuQinMintramRoss2008.pdf,2008,,,,x,,Y,,,,Y,Y,,Y,,Y,
TomsonHolcombe2008.pdf,2008,,x,,,,Y,Y,Y,Y,,Y,,Y,,,Y
FollecoKhoshgoftaarNapolitano2008.pdf,2008,,,x,,,Y,Y,,,,Y,,Y,,Y,
fentonNeilMarshHeartyRadlinskiKrause2008.pdf,2008,x,x,x,x,,Y,Y,Y,,,,,Y,Y,,
KhoshgoftaarVanHulse2008.pdf,2008,x,x,x,x,,Y,,,,,,,Y,Y,,
LiebchenShepperd2008.pdf,2008,x,x,x,,,Y,Y,,,,,,Y,Y,Y,Y
BettenburgJustSchroeterWeissPremrajZimmermann2008 .pdf,2008,x,x,x,,,,Y,,Y,,,,Y,,,Y
BuglioneGencel2008.pdf,2008,x,x,x,,,Y,,,,,,Y,Y,,Y,
FollecoKhoshgoftaarVanHulseBullard2008.pdf,2008,x,x,x,,,Y,,,,,,,Y,Y,,
DengMacDonell2008.pdf,2008,x,,,,,Y,,,,,,Y,Y,,Y,
SentasAngelisStamelos2008 .pdf,2008,,x,x,x,,Y,,,,,,Y,n.a.,,Y,
YangHeLiWangBoehm2008.pdf,2008,,x,x,x,,Y,,Y,Y,,,,Y,,Y,
MoserPedryczSucci2008.pdf,2008,,x,x,x,,Y,,Y,,,,,Y,Y,,
ZhangWangYangXiao2008.pdf,2008,,x,x,,,Y,Y,Y,Y,,,,Y,,,Y
SoweStamelosAngelis2008.pdf,2008,,x,x,,,,Y,Y,Y,,,,Y,,,Y
WangZhangXieAnvikSun2008.pdf,2008,,x,x,,,,Y,,,,,,Y,,,Y
BibiStamelosAngelis2008.pdf,2008,,x,x,,,Y,,Y,,,,Y,Y,,Y,
Cuadrado-GallegoGarreRejasSicilia2008.pdf,2008,,x,x,,,Y,,,Y,,,Y,Y,,Y,
GencelBuglione2008.pdf,2008,,x,x,,,Y,,,,,,Y,Y,,Y,
AuCarpenterChenClark2008.pdf,2008,,x,x,,,Y,,Y,,,,,Y,Y,,
YilmazParadkarWilliams2008.pdf,2008,,x,x,,,Y,,,,,,,Y,Y,,
KoruEmamZhangLiuMathew2008.pdf,2008,,x,,x,,Y,,Y,Y,,,,n.a.,Y,,
HuangChiuLiu2008.pdf,2008,,x,,x,,Y,,,,,,Y,Y,,Y,
BibiTsoumakasStamelosVlahavas2008.pdf,2008,,x,,x,,Y,,Y,,,,Y,Y,Y,,
SchalkenVanVliet2008.pdf,2008,,x,,,,n.a.,n.a.,,Y,,,,n.a.,,,Y
RobbesLanza2008.pdf,2008,,x,,,,n.a.,n.a.,Y,,,,,Y,,,Y
SeamanShullRegardieElbertFeldmannGuoGodfrey2008.pdf,2008,,x,,,,,Y,Y,,,,,Y,Y,,
GonzalezLoresGranollers2008.pdf,2008,,x,,,,Y,,,,,,,Y,,,Y
NaminAndrewsMurdoch2008.pdf,2008,,x,,,,Y,,,,,,,Y,Y,,
Mockus2008.pdf,2008,,,x,,,Y,Y,,,,,,Y,Y,Y,Y
HaiderCangussuCooperDantu2008.pdf,2008,,,,x,,Y,Y,,,,,,Y,Y,,
LokanMendes2008.pdf,2008,,,,x,,Y,,,,,,Y,Y,,Y,
LÃ_pez-MartÃ_nYÃ¡Ã±ez-MÃ¡rquezGutiÃ©rrez-TornÃ©s2008.pdf,2008,,,,x,,Y,,,Y,,,,Y,,Y,
MendesDiMartinoFerrucciGravino2008.pdf,2008,,,,x,,Y,,,,,,,Y,,Y,
MendesMosley2008.pdf,2008,,,,x,,Y,,,Y,,,Y,Y,,Y,
LiWangYangLi2008.pdf,2008,,,,x,,Y,,,,,,,Y,,Y,
